trip_id,trip_start_timestamp,trip_end_timestamp,driver_id,driver_name,source_location_address1,source_city,source_province_state,source_country,destination_location_address1,destination_city,destination_province_state,destination_country,total_distance,total_fare,trip_status,delay_start_time_mins,payment_method,payment_Status,customer_id,customer_name
1,2022-12-04T05:17:52.0000000,2022-12-04T07:17:52.0000000,A1,Rama,"21/3, Jubliee hills",Hyderabad,TS,India,,Vijayawada,AP,India,0,0,Completed,0,Cash,Cleared,1,ABC0
2,2022-12-04T07:17:52.9070000,2022-12-04T09:17:52.9070000,A2,Sam,"172/4, Gandhi nagar",Delhi,NCR,India,,Agra,UP,India,222,1949,Completed,4,Credit/Online Banking,Confirmation awaiting from third party,2,ABC1
3,2022-12-04T09:17:52.9070000,2022-12-04T11:17:52.9070000,A3,Kevin,"9/3-12, T-nagar",Chennai,TN,India,,Salem,TN,India,354,722,Completed,0,Wallet,Completed,3,ABC2
4,2022-12-04T11:17:52.9070000,2022-12-04T13:17:52.9070000,A4,Aaditya,"10/3, Madurai main",Madurai,TN,India,,Trichy,TN,India,189,627,Completed,3,Cash,Cleared,4,ABC3
5,2022-12-04T13:17:52.9070000,2022-12-04T15:17:52.9070000,A5,Sagar,"6/4, Malleshwaram road",Bangalore,KN,India,,Chennai,TN,India,305,1465,Completed,0,Credit/Online Banking,Confirmation awaiting from third party,5,ABC4
6,2022-12-04T15:17:52.9070000,2022-12-04T17:17:52.9070000,A6,David,"57/3, Kanjata road",Agra,UP,India,,Kolkata,WB,India,236,1050,Completed,10,Credit/Online Banking,Confirmation awaiting from third party,6,ABC5
7,2022-12-04T17:17:52.9070000,2022-12-04T19:17:52.9070000,A7,Nivaan,"18/4-1, Lodhi road","Delhi ",NCR,India,,Mumbai,MH,India,319,457,Completed,4,Cash,Cleared,7,ABC6
8,2022-12-04T19:17:52.9070000,2022-12-04T21:17:52.9070000,A8,Aarav,"21/3, Jubliee hills",Hyderabad,TS,India,,Tirupathi,AP,India,257,116,Completed,10,Wallet,Completed,8,ABC7
9,2022-12-04T21:17:52.9070000,2022-12-04T23:17:52.9070000,A9,Sadru,"2/4,6, airport road",Chennai,TN,India,,Tanjavur,TN,India,286,1724,Completed,1,Cash,Cleared,9,ABC8
10,2022-12-04T23:17:52.9070000,2022-12-05T01:17:52.9070000,A10,Amith,"45/6, Heritage St ",Amritsar,Punjab,India,,Delhi,NCR,India,311,1647,Completed,10,Wallet,Completed,10,ABC9
11,2022-12-05T01:17:52.9070000,2022-12-05T03:17:52.9070000,A11,Ajay,"34/6, Desikar Koil Street",Kanchipuram,TN,India,,Madurai,TN,India,347,35,Completed,5,Cash,Cleared,11,ABC10
12,2022-12-05T03:17:52.9070000,2022-12-05T05:17:52.9070000,A12,Nihal,"65-2, Halkal Junction",Udupi,KN,India,,Bangalore,KN,India,219,1565,Completed,5,Credit/Online Banking,Confirmation awaiting from third party,12,ABC11
13,2022-12-05T05:17:52.9070000,2022-12-05T07:17:52.9070000,A13,Saatvik,"26, Vishnupuri NX, AB Road, Indore (1)",Indore,MP,India,,Bhopal,MP,India,190,1548,Completed,6,Wallet,Completed,13,ABC12
14,2022-12-05T07:17:52.9070000,2022-12-05T09:17:52.9070000,A14,Andrew,"6-56, Bhatar road",Surat,MH,India,,Pune,MH,India,126,1597,Completed,10,Wallet,Completed,14,ABC13
15,2022-12-05T09:17:52.9070000,2022-12-05T11:17:52.9070000,A15,Dinesh,"1/381c, Sivaji nagar",Hosur,KN,India,,Bangalore,KN,India,379,1728,Completed,4,Cash,Cleared,15,ABC14
16,2022-12-05T11:17:52.9070000,2022-12-05T13:17:52.9070000,A16,Stephen,"98, Shanmugam road",Kochi,TN,India,,Coimbatore,TN,India,60,1845,Completed,4,Credit/Online Banking,Confirmation awaiting from third party,16,ABC15
17,2022-12-05T13:17:52.9070000,2022-12-05T15:17:52.9070000,A17,Steves,"45-6, Kovai Pudur",Coimbatore,TN,India,,Salem,TN,India,337,1424,Completed,6,Credit/Online Banking,Confirmation awaiting from third party,17,ABC16
18,2022-12-05T15:17:52.9070000,2022-12-05T17:17:52.9070000,A18,Akash,"67-23, Big temple road",Tanjavor,TN,India,,Trichy,TN,India,199,1217,Completed,3,Credit/Online Banking,Confirmation awaiting from third party,18,ABC17
19,2022-12-05T17:17:52.9070000,2022-12-05T19:17:52.9070000,A19,Nihit,"23,4- PSG college road",Coimbatore,TN,India,,Chennai,TN,India,131,1597,Completed,9,Wallet,Completed,19,ABC18
20,2022-12-05T19:17:52.9070000,2022-12-05T21:17:52.9070000,A20,Vishal,"8-3-53, MGR road",Hosur,KN,India,,Salem,TN,India,220,1180,Completed,8,Wallet,Completed,20,ABC19
21,2022-12-05T21:17:52.9070000,2022-12-05T23:17:52.9070000,A21,Arun,"23/1, Ashok nagar",Vijayawada,AP,India,,Hyderabad,TS,India,138,1931,Completed,2,Cash,Cleared,21,ABC20
22,2022-12-05T23:17:52.9070000,2022-12-06T01:17:52.9070000,A22,Ganesh,"32-5, Pratap Pura",Agra,UP,India,,Delhi,NCR,India,342,251,Completed,3,Wallet,Completed,22,ABC21
23,2022-12-06T01:17:52.9070000,2022-12-06T03:17:52.9070000,A23,Dhruv,"143/6, Ashram Street",Salem,TN,India,,Chennai,TN,India,382,1556,Completed,6,Credit/Online Banking,Confirmation awaiting from third party,23,ABC22
24,2022-12-06T03:17:52.9070000,2022-12-06T05:17:52.9070000,A24,Kumar,,Trichy,TN,India,,Madurai,TN,India,204,1841,Completed,9,Credit/Online Banking,Confirmation awaiting from third party,24,ABC23
25,2022-12-06T05:17:52.9070000,2022-12-06T07:17:52.9070000,A25,Gopal,,Chennai,TN,India,,Bangalore,KN,India,214,981,Completed,8,Credit/Online Banking,Confirmation awaiting from third party,25,ABC24
26,2022-12-06T07:17:52.9070000,2022-12-06T09:17:52.9070000,A26,Akhil,,Kolkata,WB,India,,Agra,UP,India,265,742,Completed,5,Wallet,Completed,26,ABC25
27,2022-12-06T09:17:52.9070000,2022-12-06T11:17:52.9070000,A27,Hima,,Mumbai,MH,India,,"Delhi ",NCR,India,249,1380,Completed,7,Cash,Cleared,27,ABC26
28,2022-12-06T11:17:52.9070000,2022-12-06T13:17:52.9070000,A28,Jack,,Tirupathi,AP,India,,Hyderabad,TS,India,315,1753,Completed,5,Cash,Cleared,28,ABC27
29,2022-12-06T13:17:52.9070000,2022-12-06T15:17:52.9070000,A29,Manohar,,Tanjavur,TN,India,,Chennai,TN,India,314,1583,Completed,2,Wallet,Completed,29,ABC28
30,2022-12-06T15:17:52.9070000,2022-12-06T17:17:52.9070000,A30,Pavan,,Delhi,NCR,India,,Amritsar,Punjab,India,149,1014,Completed,3,Wallet,Completed,30,ABC29
31,2022-12-06T17:17:52.9070000,2022-12-06T19:17:52.9070000,A31,Nikshit,,Madurai,TN,India,,Kanchipuram,TN,India,253,683,Completed,5,Credit/Online Banking,Confirmation awaiting from third party,31,ABC30
32,2022-12-06T19:17:52.9070000,2022-12-06T21:17:52.9070000,A32,Rahul,,Bangalore,KN,India,,Udupi,KN,India,331,192,Completed,4,Credit/Online Banking,Confirmation awaiting from third party,32,ABC31
33,2022-12-06T21:17:52.9070000,2022-12-06T23:17:52.9070000,A33,Umesh,,Bhopal,MP,India,,Indore,MP,India,362,1951,Completed,2,Wallet,Completed,33,ABC32
34,2022-12-06T23:17:52.9070000,2022-12-07T01:17:52.9070000,A34,Pranav,,Pune,MH,India,,Surat,MH,India,115,1916,Completed,6,Cash,Cleared,34,ABC33
35,2022-12-07T01:17:52.9070000,2022-12-07T03:17:52.9070000,A35,Surya,,Bangalore,KN,India,,Hosur,KN,India,238,110,Completed,7,Credit/Online Banking,Confirmation awaiting from third party,35,ABC34
36,2022-12-07T03:17:52.9070000,2022-12-07T05:17:52.9070000,A36,Kapil,,Coimbatore,TN,India,,Kochi,TN,India,212,1624,Completed,1,Wallet,Completed,36,ABC35
37,2022-12-07T05:17:52.9070000,2022-12-07T07:17:52.9070000,A37,Suresh,,Salem,TN,India,,Coimbatore,TN,India,317,13,Completed,2,Wallet,Completed,37,ABC36
38,2022-12-07T07:17:52.9070000,2022-12-07T09:17:52.9070000,A38,Ranjith,,Trichy,TN,India,,Tanjavor,TN,India,394,1233,Completed,3,Cash,Cleared,38,ABC37
39,2022-12-07T09:17:52.9070000,2022-12-07T11:17:52.9070000,A39,Sadru,,Chennai,TN,India,,Coimbatore,TN,India,317,212,Completed,3,Cash,Cleared,39,ABC38
